有线高清,#genre#
CCTV1,https://www.sxtv.top/gzyd.php?id=cctv1
CCTV2,https://www.sxtv.top/gzyd.php?id=cctv2
CCTV3,https://www.sxtv.top/gzyd.php?id=cctv3
CCTV4,https://www.sxtv.top/gzyd.php?id=cctv4
CCTV5,https://www.sxtv.top/gzyd.php?id=cctv5
CCTV5+,https://www.sxtv.top/gzyd.php?id=cctv5p
CCTV6,https://www.sxtv.top/gzyd.php?id=cctv6
CCTV7,https://www.sxtv.top/gzyd.php?id=cctv7
CCTV8,https://www.sxtv.top/gzyd.php?id=cctv8
CCTV9,https://www.sxtv.top/gzyd.php?id=cctv9
CCTV10,https://www.sxtv.top/gzyd.php?id=cctv10
CCTV11,https://www.sxtv.top/gzyd.php?id=cctv11
CCTV12,https://www.sxtv.top/gzyd.php?id=cctv12
CCTV13,https://www.sxtv.top/gzyd.php?id=cctv13
CCTV14,https://www.sxtv.top/gzyd.php?id=cctv14
CCTV15,https://www.sxtv.top/gzyd.php?id=cctv15
CCTV16,https://www.sxtv.top/gzyd.php?id=cctv16
CCTV17,https://www.sxtv.top/gzyd.php?id=cctv17
CETV1,https://www.sxtv.top/gzyd.php?id=cetv1
CETV2,https://www.sxtv.top/gzyd.php?id=cetv1
CETV4,https://www.sxtv.top/gzyd.php?id=cetv4
CGTN,https://www.sxtv.top/gzyd.php?id=cgtn
CCTV世界地理,https://www.sxtv.top/gzyd.php?id=sjdl
CCTV兵器科技,https://www.sxtv.top/gzyd.php?id=bqkj
CCTV第一剧场,https://www.sxtv.top/gzyd.php?id=dyjc
CCTV怀旧剧场,https://www.sxtv.top/gzyd.php?id=hjjc
CCTV风云剧场,https://www.sxtv.top/gzyd.php?id=fyjc
CCTV风云音乐,https://www.sxtv.top/gzyd.php?id=fyyy
CCTV风云足球,https://www.sxtv.top/gzyd.php?id=fyzq
CCTV央视文化精品,https://www.sxtv.top/gzyd.php?id=whjp
CCTV女性时尚,https://www.sxtv.top/gzyd.php?id=nxss
CCTV高尔夫网球,https://www.sxtv.top/gzyd.php?id=gefwq
CCTV央视台球,https://www.sxtv.top/gzyd.php?id=ystq

北京卫视,https://www.sxtv.top/gzyd.php?id=bjws
东方卫视,https://www.sxtv.top/gzyd.php?id=dfws
天津卫视,https://www.sxtv.top/gzyd.php?id=tjws
重庆卫视,https://www.sxtv.top/gzyd.php?id=cqws
黑龙江卫视,https://www.sxtv.top/gzyd.php?id=hljws
吉林卫视,https://www.sxtv.top/gzyd.php?id=jlws
辽宁卫视,https://www.sxtv.top/gzyd.php?id=lnws
内蒙古卫视,https://www.sxtv.top/gzyd.php?id=nmgws
宁夏卫视,https://www.sxtv.top/gzyd.php?id=nxws
青海卫视,https://www.sxtv.top/gzyd.php?id=qhws
河北卫视,https://www.sxtv.top/gzyd.php?id=hnbws
山西卫视,https://www.sxtv.top/gzyd.php?id=sxws
陕西卫视,https://www.sxtv.top/gzyd.php?id=snxws
安徽卫视,https://www.sxtv.top/gzyd.php?id=ahws
山东卫视,https://www.sxtv.top/gzyd.php?id=sdws
河南卫视,https://www.sxtv.top/gzyd.php?id=henws
湖北卫视,https://www.sxtv.top/gzyd.php?id=hbws
湖南卫视,https://www.sxtv.top/gzyd.php?id=hnws
甘肃卫视,https://www.sxtv.top/gzyd.php?id=gsws
农林卫视,https://www.sxtv.top/gzyd.php?id=nlws
江西卫视,https://www.sxtv.top/gzyd.php?id=jxws
江苏卫视https://www.sxtv.top/gzyd.php?id=jsws
浙江卫视,https://www.sxtv.top/gzyd.php?id=zjws
东南卫视,https://www.sxtv.top/gzyd.php?id=dnws
广东卫视,https://www.sxtv.top/gzyd.php?id=gdws
深圳卫视,https://www.sxtv.top/gzyd.php?id=szws
广西卫视,https://www.sxtv.top/gzyd.php?id=gxws
云南卫视,https://www.sxtv.top/gzyd.php?id=ynws
贵州卫视,https://www.sxtv.top/gzyd.php?id=gzws
